,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse,test_mae,test_acc,likely_rmse,likely_mae,likely_acc,likely_range
118,AutoencoderRandomDropoutMLP_seq_true_ver_11,AutoencoderRandomDropoutMLP,11,True,12.09,8.3,1.0,11.98,8.16,1.0099999904632568,13.34,10.5,1.23,6.85,4.98,1.12,365
119,AutoencoderRandomDropoutMLP_seq_true_ver_12,AutoencoderRandomDropoutMLP,12,True,12.83,8.25,0.99,12.68,8.1,0.9900000095367432,12.52,10.19,1.1799999475479126,8.83,6.71,1.190000057220459,365
120,RandomDropoutLSTM_seq_true_ver_1,RandomDropoutLSTM,1,True,6.27,4.67,0.99,30.62,24.62,1.7400000095367432,18.39,14.92,1.13,19.38,16.77,1.57,365
121,RandomDropoutLSTM_seq_true_ver_2,RandomDropoutLSTM,2,True,9.23,6.69,1.0399999618530273,27.96,24.13,2.0299999713897705,13.86,10.03,0.9200000166893005,27.65,25.45,2.2100000381469727,365
122,RandomDropoutLSTM_seq_true_ver_3,RandomDropoutLSTM,3,True,9.55,6.9,1.0499999523162842,32.78,29.52,2.259999990463257,12.69,9.97,1.059999942779541,32.75,30.51,2.490000009536743,365
123,RandomDropoutLSTM_seq_true_ver_4,RandomDropoutLSTM,4,True,8.65,6.11,0.9300000071525574,22.45,15.71,0.3199999928474426,24.83,18.53,0.47999998927116394,20.51,15.2,0.3499999940395355,365
124,RandomDropoutLSTM_seq_true_ver_5,RandomDropoutLSTM,5,True,25.38,19.43,0.0,25.38,19.43,0.0,37.41,33.68,0.0,24.49,19.42,0.0,365
125,RandomDropoutLSTM_seq_true_ver_6,RandomDropoutLSTM,6,True,8.65,5.97,1.02,25.16,19.21,1.6299999952316284,22.78,18.43,1.19,21.87,19.69,1.78,365
126,RandomDropoutLSTM_seq_true_ver_7,RandomDropoutLSTM,7,True,26.79,20.98,0.0,26.79,20.98,0.0,37.41,33.68,0.0,24.49,19.42,0.0,365
127,RandomDropoutLSTM_seq_true_ver_8,RandomDropoutLSTM,8,True,27.03,20.85,0.0,46.96,35.17,1.27,37.41,33.68,0.0,50.92,38.78,1.95,365
128,RandomDropoutLSTM_seq_true_ver_9,RandomDropoutLSTM,9,True,8.91,6.24,0.9700000286102295,22.86,19.49,1.7599999904632568,14.8,11.81,1.100000023841858,26.22,24.0,2.109999895095825,365
129,RandomDropoutLSTM_seq_true_ver_10,RandomDropoutLSTM,10,True,22.58,16.55,0.18000000715255737,24.46,18.3,0.09000000357627869,35.46,31.31,0.07000000029802322,23.0,17.52,0.10000000149011612,365
130,RandomDropoutLSTM_seq_true_ver_11,RandomDropoutLSTM,11,True,8.82,6.41,1.0199999809265137,26.22,23.55,1.940000057220459,14.05,11.01,1.0499999523162842,24.77,22.6,2.0199999809265137,365
131,RandomDropoutLSTM_seq_true_ver_12,RandomDropoutLSTM,12,True,38.81,28.38,0.79,54.11,42.18,1.77,41.81,37.21,0.32,48.16,35.52,1.86,365
132,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_1,AutoencoderRandomDropoutBidirectionalLSTM,1,True,6.95,5.03,0.98,19.24,12.42,0.79,21.65,18.17,1.21,19.03,14.69,0.97,365
133,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_2,AutoencoderRandomDropoutBidirectionalLSTM,2,True,8.67,6.24,1.0299999713897705,21.68,16.04,1.23,15.94,11.42,0.78,16.77,14.41,1.32,365
134,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_3,AutoencoderRandomDropoutBidirectionalLSTM,3,True,7.08,5.26,1.01,16.51,11.75,1.0,14.26,10.16,0.99,10.6,7.86,1.05,365
135,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_4,AutoencoderRandomDropoutBidirectionalLSTM,4,True,7.87,5.66,1.02,20.43,14.23,1.100000023841858,21.14,17.12,1.27,12.5,9.27,1.01,365
136,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_5,AutoencoderRandomDropoutBidirectionalLSTM,5,True,8.09,5.86,1.0399999618530273,27.42,20.47,1.31,29.37,25.43,1.15,19.59,15.56,1.38,365
137,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_6,AutoencoderRandomDropoutBidirectionalLSTM,6,True,8.97,6.02,1.02,20.14,16.44,1.4500000476837158,16.69,12.73,0.949999988079071,17.22,15.08,1.4800000190734863,365
138,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_7,AutoencoderRandomDropoutBidirectionalLSTM,7,True,6.77,4.97,0.96,10.81,7.49,0.88,14.1,10.5,1.1,10.46,7.02,0.9,365
139,AutoencoderRandomDropoutBidirectionalLSTM_seq_true_ver_8,AutoencoderRandomDropoutBidirectionalLSTM,8,True,9.14,6.58,1.0499999523162842,45.85,35.4,1.37,18.23,15.38,1.25,19.43,14.88,1.2999999523162842,365
