,code,model,version,sequentially,train_rmse,train_mae,train_acc,train_ms_rmse,train_ms_mae,train_ms_acc,test_rmse_60,test_mae_60,test_acc_60,test_rmse_30,test_mae_30,test_acc_30,test_rmse_7,test_mae_7,test_acc_7,n_parameters
75,BidirectionalLSTM_seq_true_ver_8,BidirectionalLSTM,8,True,8.46,5.93,0.99,34.0,23.46,0.95,17.81,14.72,1.2,16.0,12.07,0.78,16.57,14.34,0.82,785203
76,BidirectionalLSTM_seq_true_ver_9,BidirectionalLSTM,9,True,9.89,6.17,0.95,20.71,14.15,0.89,24.48,21.05,1.14,26.73,22.42,0.51,16.05,14.18,1.01,786407
77,BidirectionalLSTM_seq_true_ver_10,BidirectionalLSTM,10,True,8.89,6.51,1.07,26.52,22.54,1.89,15.84,13.45,1.26,23.84,20.13,0.56,14.18,12.27,1.05,786407
78,BidirectionalLSTM_seq_true_ver_11,BidirectionalLSTM,11,True,11.15,7.09,1.01,10.51,7.77,1.17,14.0,10.88,1.06,16.88,13.26,1.1,20.94,19.23,1.3,786407
79,BidirectionalLSTM_seq_true_ver_12,BidirectionalLSTM,12,True,9.83,6.27,1.01,23.68,18.2,1.47,24.36,20.2,1.5,26.78,23.0,0.49,15.01,12.72,1.0,786407
80,AutoencoderMLP_seq_true_ver_1,AutoencoderMLP,1,True,1.01,0.7,0.99,12.66,7.78,1.14,18.87,14.21,0.66,30.4,25.8,0.43,15.87,14.26,0.91,392201
81,AutoencoderMLP_seq_true_ver_2,AutoencoderMLP,2,True,0.96,0.73,1.01,13.01,7.38,1.07,17.43,13.21,0.72,15.01,11.02,0.94,16.07,13.87,1.05,412201
82,AutoencoderMLP_seq_true_ver_3,AutoencoderMLP,3,True,1.51,1.1,1.02,3.67,2.47,1.04,14.55,11.74,1.29,19.08,15.05,1.24,19.35,15.04,1.24,462201
83,AutoencoderMLP_seq_true_ver_4,AutoencoderMLP,4,True,2.07,1.49,1.03,7.66,5.2,1.04,11.75,9.29,1.12,14.76,11.92,0.99,11.56,10.1,1.01,512201
84,AutoencoderMLP_seq_true_ver_5,AutoencoderMLP,5,True,9.63,7.0,1.11,23.39,17.95,1.53,34.87,29.65,0.75,14.58,11.53,1.0,16.22,13.46,1.07,393203
85,AutoencoderMLP_seq_true_ver_6,AutoencoderMLP,6,True,11.46,7.75,1.01,11.41,7.73,1.01,14.29,10.64,0.83,18.17,13.86,0.82,16.26,14.21,1.12,413203
86,AutoencoderMLP_seq_true_ver_7,AutoencoderMLP,7,True,1.31,0.88,1.0,1.6,1.05,1.0,12.48,9.8,1.16,17.25,13.34,1.08,19.67,15.6,1.22,463203
87,AutoencoderMLP_seq_true_ver_8,AutoencoderMLP,8,True,9.66,6.66,0.98,9.42,6.51,0.98,11.04,8.55,1.16,13.29,10.87,1.18,11.85,10.25,1.06,513203
88,AutoencoderMLP_seq_true_ver_9,AutoencoderMLP,9,True,11.85,7.92,1.01,24.28,17.66,1.46,20.28,16.78,1.26,30.11,25.88,0.43,14.28,11.52,0.98,395207
89,AutoencoderMLP_seq_true_ver_10,AutoencoderMLP,10,True,9.86,6.84,1.0,11.46,7.99,1.04,17.15,13.89,1.25,13.94,10.12,0.92,19.19,16.11,1.05,415207
90,AutoencoderMLP_seq_true_ver_11,AutoencoderMLP,11,True,12.81,8.71,1.02,12.79,8.69,1.02,16.32,12.08,1.28,17.92,14.65,1.26,25.75,19.3,1.26,465207
91,AutoencoderMLP_seq_true_ver_12,AutoencoderMLP,12,True,13.24,8.62,1.01,13.15,8.56,1.0,13.61,10.79,1.2,14.41,11.01,1.03,7.38,6.36,1.02,515207
92,AutoencoderMultiCNN_seq_true_ver_1,AutoencoderMultiCNN,1,True,7.42,4.95,1.06,16.71,13.46,1.19,20.89,16.0,0.82,23.07,20.4,0.55,21.81,18.75,0.7,75789
93,AutoencoderMultiCNN_seq_true_ver_2,AutoencoderMultiCNN,2,True,4.74,2.78,0.96,16.63,13.02,1.13,16.4,12.48,0.93,15.01,11.59,0.79,28.46,25.16,0.57,91789
94,AutoencoderMultiCNN_seq_true_ver_3,AutoencoderMultiCNN,3,True,3.91,2.7,0.96,20.64,16.56,1.58,11.31,9.04,1.06,12.52,9.38,0.94,18.28,16.48,0.75,131789
95,AutoencoderMultiCNN_seq_true_ver_4,AutoencoderMultiCNN,4,True,3.77,2.55,0.95,12.41,9.03,1.23,11.4,8.37,0.96,14.84,10.88,0.83,24.92,22.71,0.61,171789
96,AutoencoderMultiCNN_seq_true_ver_5,AutoencoderMultiCNN,5,True,10.66,7.73,1.03,17.11,12.45,0.89,21.37,15.62,0.59,31.53,28.22,0.38,34.33,32.69,0.44,76791
97,AutoencoderMultiCNN_seq_true_ver_6,AutoencoderMultiCNN,6,True,10.74,7.19,0.94,19.43,14.54,1.09,24.59,20.69,0.93,18.19,12.81,0.81,29.85,27.81,0.52,92791
98,AutoencoderMultiCNN_seq_true_ver_7,AutoencoderMultiCNN,7,True,5.88,4.07,0.9,16.67,12.07,0.89,12.65,9.45,0.92,14.88,11.36,0.83,24.23,22.9,0.61,132791
99,AutoencoderMultiCNN_seq_true_ver_8,AutoencoderMultiCNN,8,True,9.45,6.32,0.91,14.02,10.05,0.96,11.27,8.67,0.96,13.82,10.61,0.9,21.18,18.8,0.68,172791
100,AutoencoderMultiCNN_seq_true_ver_9,AutoencoderMultiCNN,9,True,12.8,9.48,1.02,16.84,13.58,1.21,23.52,18.74,0.77,34.06,31.04,0.31,31.88,30.65,0.47,78795
101,AutoencoderMultiCNN_seq_true_ver_10,AutoencoderMultiCNN,10,True,9.2,6.18,0.94,20.14,15.83,1.11,22.68,17.61,0.91,21.82,18.0,0.62,27.59,24.57,0.59,94795
102,AutoencoderMultiCNN_seq_true_ver_11,AutoencoderMultiCNN,11,True,11.42,7.67,0.96,16.91,13.65,1.17,11.48,9.13,1.03,12.89,10.03,0.94,21.74,19.92,0.66,134795
103,AutoencoderMultiCNN_seq_true_ver_12,AutoencoderMultiCNN,12,True,12.85,8.09,0.84,14.87,10.76,0.99,13.67,10.1,0.86,16.8,11.98,0.8,27.33,25.17,0.57,174795
